timestamp,mmsi,latitude,longitude,sog,cog,true_heading,navigational_status
2025-05-10 16:31:32.290865903 +0000 UTC,367625810,33.739778333333334,-118.27798833333333,0,310.2,10,0
2025-05-10 16:31:33.085881964 +0000 UTC,366921510,33.73102333333333,-118.26128833333334,0,180,253,5
2025-05-10 16:31:33.479082681 +0000 UTC,477737600,33.74375666666666,-118.19463,0,177.8,90,5
2025-05-10 16:31:33.825590985 +0000 UTC,367461940,33.74436,-118.22554,0.1,295.4,511,3
2025-05-10 16:31:34.303758713 +0000 UTC,366926740,33.728316666666665,-118.27435,0,43.9,306,0
2025-05-10 16:31:36.186592259 +0000 UTC,367533290,33.734515,-118.27068333333334,0.1,233,511,0
2025-05-10 16:31:38.257431221 +0000 UTC,366978690,33.73325666666667,-118.17994166666668,6.8,35.6,26,5
2025-05-10 16:31:41.249163294 +0000 UTC,367004260,33.7676,-118.21688999999999,0,261,511,5
2025-05-10 16:31:41.322443032 +0000 UTC,367550000,33.745466666666665,-118.22485,0,234.4,189,5
2025-05-10 16:31:42.164094958 +0000 UTC,220415000,33.73161833333333,-118.24978333333334,0,154.6,251,5
2025-05-10 16:31:42.243540369 +0000 UTC,367452280,33.73517833333333,-118.26903999999999,0,360,511,0
2025-05-10 16:31:42.556654356 +0000 UTC,368136950,33.740249999999996,-118.27813333333333,0,324,190,0
2025-05-10 16:31:42.583686937 +0000 UTC,367017440,33.77090833333333,-118.21168666666668,0,273.4,511,0
2025-05-10 16:31:43.298608718 +0000 UTC,368171260,33.742895,-118.27574666666666,5.8,206.1,209,12
2025-05-10 16:31:47.425779261 +0000 UTC,367006790,33.73546666666667,-118.16285333333333,0.1,122.5,287,5
2025-05-10 16:31:47.786163246 +0000 UTC,338145691,33.726265,-118.26907166666666,0.2,79.7,511,0
2025-05-10 16:31:48.140793119 +0000 UTC,368010330,33.74070833333334,-118.21163333333334,6.3,316.4,310,0
2025-05-10 16:31:48.958015529 +0000 UTC,368024740,33.722541666666665,-118.22230666666665,0.8,59.9,222,0
2025-05-10 16:31:49.087660417 +0000 UTC,367035570,33.733465,-118.26353166666667,0,250.1,177,3
2025-05-10 16:31:49.367403136 +0000 UTC,338140889,33.770015,-118.212385,0,245.2,511,15
2025-05-10 16:31:50.148277946 +0000 UTC,367724740,33.741413333333334,-118.180555,11.4,175.6,511,15
2025-05-10 16:31:50.20735621 +0000 UTC,368226970,33.740645,-118.27836666666667,0.1,269.4,511,0
2025-05-10 16:31:51.688491829 +0000 UTC,367124980,33.73451166666667,-118.270905,0.2,251,511,0
2025-05-10 16:31:52.450669189 +0000 UTC,367704150,33.76224666666666,-118.19549333333333,0,360,511,0
2025-05-10 16:31:52.894198857 +0000 UTC,368171260,33.74267666666667,-118.27587,5.7,207.2,208,12
2025-05-10 16:31:53.345404603 +0000 UTC,367401030,33.739835,-118.27820666666666,0.1,273.4,6,0
2025-05-10 16:31:53.866009937 +0000 UTC,369725000,33.736898333333336,-118.277985,0,360,511,5
2025-05-10 16:31:54.35008562 +0000 UTC,368133450,33.73030166666667,-118.26258,0,323.5,252,12
2025-05-10 16:31:54.764959379 +0000 UTC,367393270,33.735038333333335,-118.27105333333334,0,224.7,511,0
2025-05-10 16:31:54.781442361 +0000 UTC,311001627,33.72961333333333,-118.22287333333334,2.6,18.4,21,0
2025-05-10 16:31:56.506709037 +0000 UTC,367044560,33.76280333333333,-118.26562333333332,0,239.5,511,15
2025-05-10 16:31:57.084737762 +0000 UTC,367027570,33.75393833333333,-118.22433333333333,0,276.5,254,0
2025-05-10 16:31:57.918000949 +0000 UTC,367034960,33.767491666666665,-118.21696,0,252.3,511,0
2025-05-10 16:31:58.426564006 +0000 UTC,367580930,33.76244,-118.1954,0,360,511,0
2025-05-10 16:31:59.126601554 +0000 UTC,367035570,33.73346166666667,-118.26352833333334,0,249,177,3
2025-05-10 16:31:59.184199564 +0000 UTC,366734000,33.74407,-118.22668833333334,0,0,511,5
2025-05-10 16:32:00.844953521 +0000 UTC,367724740,33.740895,-118.18050166666667,11.3,174.8,511,15
2025-05-10 16:32:02.608228434 +0000 UTC,366892000,33.73913,-118.21031833333333,6.3,311,321,0
2025-05-10 16:32:02.877134663 +0000 UTC,368025250,33.728053333333335,-118.27404,0,335.1,127,5
2025-05-10 16:32:03.463506954 +0000 UTC,367461940,33.74440833333333,-118.22559166666666,0.1,254.9,511,3
2025-05-10 16:32:05.612404793 +0000 UTC,311001627,33.72972166666667,-118.222835,2.5,16.1,21,0
2025-05-10 16:32:06.153765114 +0000 UTC,367661930,33.728899999999996,-118.22326666666666,2.4,38.4,26,0
2025-05-10 16:32:07.639373609 +0000 UTC,338899000,33.734973333333336,-118.27406500000001,0,342.3,154,5
2025-05-10 16:32:09.026344564 +0000 UTC,338140889,33.770005,-118.21239833333334,0,245.3,511,15
2025-05-10 16:32:09.094476268 +0000 UTC,367580930,33.76244,-118.1954,0,360,511,0
2025-05-10 16:32:09.200509897 +0000 UTC,367698890,33.74782666666667,-118.27220000000001,6.2,204.4,200,5
2025-05-10 16:32:09.346196285 +0000 UTC,367754810,33.77117166666667,-118.21308333333333,0,248.7,334,0
2025-05-10 16:32:09.806100009 +0000 UTC,367192940,33.74838166666667,-118.27413333333334,0,238.1,511,0
2025-05-10 16:32:10.446617946 +0000 UTC,367133910,33.765548333333335,-118.25567,0.1,237.9,319,0
2025-05-10 16:32:10.568717674 +0000 UTC,338602000,33.74776,-118.17264,0.1,131,38,15
2025-05-10 16:32:10.608008913 +0000 UTC,368064650,33.72375666666667,-118.27957500000001,0,360,511,15
2025-05-10 16:32:10.721055904 +0000 UTC,241529000,33.73413,-118.169355,0.1,199.9,302,1
2025-05-10 16:32:11.387704134 +0000 UTC,368010330,33.74121,-118.21217333333334,6.3,319.1,309,0
2025-05-10 16:32:11.525164116 +0000 UTC,367330510,33.76376,-118.25672833333333,0,360,511,5
2025-05-10 16:32:12.732708082 +0000 UTC,563154300,33.76349166666667,-118.25996666666667,0,14,175,5
2025-05-10 16:32:13.40453527 +0000 UTC,636022007,33.74046,-118.21182999999999,6.3,317.7,319,0
2025-05-10 16:32:14.910230163 +0000 UTC,366886630,33.73737666666667,-118.27808666666667,0,360,511,5
2025-05-10 16:32:15.44111999 +0000 UTC,235050012,33.76291666666667,-118.24878333333332,0,322,66,5
2025-05-10 16:32:15.881090853 +0000 UTC,367034320,33.76138,-118.19559666666667,0,360,511,15
2025-05-10 16:32:17.527889257 +0000 UTC,367199310,33.763056666666664,-118.19946333333334,0.1,250.6,511,15
2025-05-10 16:32:20.000536223 +0000 UTC,351361000,33.75176333333334,-118.24097333333334,0,10.4,251,5
2025-05-10 16:32:20.342538213 +0000 UTC,374527000,33.750101666666666,-118.18682,0.1,0,181,5
2025-05-10 16:32:24.134913915 +0000 UTC,367661930,33.72905333333333,-118.223125,2.3,35.8,20,0
2025-05-10 16:32:25.249812359 +0000 UTC,368926530,33.73411,-118.26349666666667,0,240.8,2,5
2025-05-10 16:32:25.331103514 +0000 UTC,366998840,33.76395,-118.25681666666667,0.2,90.1,309,0
2025-05-10 16:32:26.237811783 +0000 UTC,367569830,33.76384,-118.256955,0,315.3,206,0
2025-05-10 16:32:26.736283795 +0000 UTC,368084540,33.73986,-118.27803666666667,0,270.2,5,0
2025-05-10 16:32:27.627095753 +0000 UTC,256843000,33.75509,-118.27615999999999,0,242.5,331,5
2025-05-10 16:32:28.076060076 +0000 UTC,367027570,33.753935,-118.22433500000001,0,290.2,254,0
2025-05-10 16:32:28.793828613 +0000 UTC,338145691,33.726258333333334,-118.269065,0.2,96.1,511,0
2025-05-10 16:32:30.579928861 +0000 UTC,368171390,33.73121666666667,-118.26094833333333,0,0,337,5
2025-05-10 16:32:32.327361553 +0000 UTC,367625810,33.73978666666667,-118.27797666666667,0,310.2,11,0
2025-05-10 16:32:32.404484215 +0000 UTC,367704150,33.76224333333333,-118.19549333333333,0,360,511,0
2025-05-10 16:32:33.541217589 +0000 UTC,368024740,33.722636666666666,-118.22235333333333,1.9,336.8,1,0
2025-05-10 16:32:33.834205926 +0000 UTC,367461940,33.74431166666667,-118.22553833333333,0.1,296.4,511,3
2025-05-10 16:32:35.541781376 +0000 UTC,366892000,33.73984166666666,-118.21110666666667,6.3,320.9,325,0
2025-05-10 16:32:36.187019244 +0000 UTC,367533290,33.734505,-118.27070166666667,0.1,275.4,511,0
2025-05-10 16:32:39.307211697 +0000 UTC,366978690,33.73493333333333,-118.17893833333332,6.6,18,8,5
2025-05-10 16:32:42.213352221 +0000 UTC,367452280,33.735185,-118.26906666666667,0,360,511,0
2025-05-10 16:32:42.280759953 +0000 UTC,368000890,33.753175,-118.223855,0.1,31.1,241,5
2025-05-10 16:32:42.580779826 +0000 UTC,368136950,33.740233333333336,-118.27811666666666,0,313.1,190,0
2025-05-10 16:32:42.616441282 +0000 UTC,367017440,33.77089,-118.21167833333334,0,258.3,511,0
2025-05-10 16:32:43.311565188 +0000 UTC,368171260,33.741414999999996,-118.27636833333332,5.7,188.6,189,12
2025-05-10 16:32:43.827079169 +0000 UTC,366926740,33.72833333333333,-118.27433333333333,0,54.8,307,0
2025-05-10 16:32:43.946516179 +0000 UTC,636021251,33.751538333333336,-118.27347333333334,0,222.3,328,5
2025-05-10 16:32:44.363363167 +0000 UTC,368136950,33.740233333333336,-118.27811666666666,0,11.1,190,0
2025-05-10 16:32:44.63816817 +0000 UTC,477067900,33.75461333333333,-118.21409666666666,0,127.2,0,5
2025-05-10 16:32:48.866342928 +0000 UTC,368024740,33.722858333333335,-118.22237666666666,3.3,355.8,352,0
2025-05-10 16:32:49.485845996 +0000 UTC,338525791,33.77110833333333,-118.21383833333333,0,340.2,511,5
